,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30
P11,1.8,1.8,0.9,1.8,0.9,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,0.9,1.8,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,1.8,0.9,0.9,1.8,0.9
P12,1.8,1.8,1.8,0.9,1.8,0.9,1.8,0.9,0.9,1.8,1.8,0.9,1.8,1.8,1.8,0.9,1.8,1.8,0.9,1.8,1.8,1.8,0.9,1.8,1.8,0.9,1.8,1.8,1.8,1.8
P13,0.9,0.9,1.8,1.8,1.8,1.8,0.9,1.8,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,0.9,0.9,1.8,0.9,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,0.9,1.8
P14,0.9,0.9,1.8,1.8,1.8,1.8,0.9,1.8,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,0.9,0.9,1.8,0.9,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,0.9,1.8
P15,1.8,1.8,0.9,1.8,0.9,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,0.9,1.8,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,1.8,0.9,0.9,1.8,0.9
P16,1.8,1.8,1.8,0.9,1.8,0.9,1.8,0.9,0.9,1.8,1.8,0.9,1.8,1.8,1.8,0.9,1.8,1.8,0.9,1.8,1.8,1.8,0.9,1.8,1.8,0.9,1.8,1.8,1.8,1.8
P17,0.9,0.9,1.8,1.8,1.8,1.8,0.9,1.8,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,0.9,0.9,1.8,0.9,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,0.9,1.8
P18,0.9,0.9,1.8,1.8,1.8,1.8,0.9,1.8,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,0.9,0.9,1.8,0.9,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,0.9,1.8
P19,1.8,1.8,1.8,0.9,1.8,0.9,1.8,0.9,0.9,1.8,1.8,0.9,1.8,1.8,1.8,0.9,1.8,1.8,0.9,1.8,1.8,1.8,0.9,1.8,1.8,0.9,1.8,1.8,1.8,1.8
P20,0.9,0.9,1.8,1.8,1.8,1.8,0.9,1.8,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,0.9,0.9,1.8,0.9,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,0.9,1.8
P21,1.8,1.8,0.9,1.8,0.9,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,0.9,1.8,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,1.8,0.9,0.9,1.8,0.9
P22,1.8,1.8,0.9,1.8,0.9,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,0.9,1.8,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,1.8,0.9,0.9,1.8,0.9
P23,1.8,1.8,1.8,0.9,1.8,0.9,1.8,0.9,0.9,1.8,1.8,0.9,1.8,1.8,1.8,0.9,1.8,1.8,0.9,1.8,1.8,1.8,0.9,1.8,1.8,0.9,1.8,1.8,1.8,1.8
P24,0.9,0.9,1.8,1.8,1.8,1.8,0.9,1.8,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,0.9,0.9,1.8,0.9,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,0.9,1.8
P25,0.9,0.9,1.8,1.8,1.8,1.8,0.9,1.8,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,0.9,0.9,1.8,0.9,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,0.9,1.8
P26,1.8,1.8,1.8,0.9,1.8,0.9,1.8,0.9,0.9,1.8,1.8,0.9,1.8,1.8,1.8,0.9,1.8,1.8,0.9,1.8,1.8,1.8,0.9,1.8,1.8,0.9,1.8,1.8,1.8,1.8
P27,1.8,1.8,0.9,1.8,0.9,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,0.9,1.8,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,1.8,0.9,0.9,1.8,0.9
P28,1.8,1.8,0.9,1.8,0.9,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,0.9,1.8,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,1.8,0.9,0.9,1.8,0.9
P29,0.9,0.9,1.8,1.8,1.8,1.8,0.9,1.8,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,0.9,0.9,1.8,0.9,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,0.9,1.8
P30,1.8,1.8,0.9,1.8,0.9,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,0.9,1.8,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,1.8,0.9,0.9,1.8,0.9
